"","year","id","prottemp","cathtemp"
"1",2004,4,50,50
"2",2004,7,5,85
"3",2004,9,50,50
"4",2004,14,60,60
"5",2004,21,100,0
"6",2004,24,5,5
"7",2004,25,50,60
"8",2004,28,40,60
"9",2004,29,50,50
"10",2004,31,50,50
"11",2004,33,50,50
"12",2004,37,50,50
"13",2004,40,50,65
"14",2004,41,40,50
"15",2004,42,50,85
"16",2004,45,70,60
"17",2004,50,75,50
"18",2004,56,50,100
"19",2004,64,75,50
"20",2004,67,85,85
"21",2004,68,75,100
"22",2004,76,60,50
"23",2004,77,50,30
"24",2004,81,80,80
"25",2004,82,25,100
"26",2004,86,50,50
"27",2004,88,60,70
"28",2004,91,90,90
"29",2004,101,50,50
"30",2004,104,50,50
"31",2004,107,50,50
"32",2004,119,65,65
"33",2004,123,50,50
"34",2004,124,85,100
"35",2004,127,85,85
"36",2004,128,85,85
"37",2004,132,50,50
"38",2004,134,50,50
"39",2004,137,50,50
"40",2004,141,50,100
"41",2004,150,85,100
"42",2004,153,40,40
"43",2004,158,50,60
"44",2004,162,85,85
"45",2004,164,85,30
"46",2004,170,50,85
"47",2004,172,50,50
"48",2004,173,50,85
"49",2004,179,70,30
"50",2004,180,70,50
"51",2004,186,60,60
"52",2004,187,70,85
"53",2004,188,80,30
"54",2004,190,85,60
"55",2004,192,100,50
"56",2004,195,50,50
"57",2004,196,50,50
"58",2004,200,50,70
"59",2004,201,50,60
"60",2004,213,80,75
"61",2004,215,50,50
"62",2004,219,85,85
"63",2004,224,50,50
"64",2004,226,85,100
"65",2004,228,85,85
"66",2004,231,70,30
"67",2004,232,50,50
"68",2004,247,60,85
"69",2004,249,50,15
"70",2004,254,75,50
"71",2004,257,60,20
"72",2004,265,100,100
"73",2004,272,70,50
"74",2004,275,50,85
"75",2004,279,80,40
"76",2004,282,50,50
"77",2004,283,50,50
"78",2004,286,60,100
"79",2004,288,85,100
"80",2004,293,100,50
"81",2004,295,85,100
"82",2004,298,60,85
"83",2004,303,50,50
"84",2004,304,85,70
"85",2004,308,85,85
"86",2004,310,60,40
"87",2004,311,50,40
"88",2004,318,100,50
"89",2004,319,90,20
"90",2004,321,50,70
"91",2004,329,50,50
"92",2004,332,50,70
"93",2004,334,50,50
"94",2004,341,50,50
"95",2004,343,50,40
"96",2004,347,80,90
"97",2004,351,100,70
"98",2004,352,50,50
"99",2004,357,0,50
"100",2004,362,50,50
"101",2004,367,85,85
"102",2004,368,50,60
"103",2004,371,100,100
"104",2004,379,50,50
"105",2004,380,50,50
"106",2004,383,50,40
"107",2004,395,55,60
"108",2004,400,50,40
"109",2004,404,60,85
"110",2004,405,50,40
"111",2004,406,70,60
"112",2004,408,50,50
"113",2004,415,60,60
"114",2004,426,50,50
"115",2004,428,100,100
"116",2004,429,70,85
"117",2004,437,85,85
"118",2004,444,50,15
"119",2004,452,50,20
"120",2004,454,50,99
"121",2004,455,30,85
"122",2004,458,50,60
"123",2004,459,100,85
"124",2004,464,90,90
"125",2004,473,50,50
"126",2004,482,50,50
"127",2004,484,50,50
"128",2004,496,100,85
"129",2004,498,50,70
"130",2004,500,50,50
"131",2004,503,75,50
"132",2004,507,50,0
